season,price_AUS,price_CHF,price_CZE,price_GER,price_ESP,price_FRA,price_UK,price_ITA,price_POL,price_SVK
spring,,9.644027877268496,-1.6862480951361345,-1.7480763846576997,-3.666005401185653,,-1.822719793809122,-3.931031226630509,,-3.238196806151894
summer,,7.246060839801865,-2.132376793025196,-2.0543626893759654,-3.2956973627688892,-4.104758711201375,-1.8260207345387316,,,-3.212894038068976
autumn,-2.101936612395246,7.620084525124941,-1.9102823220982919,,-3.3887770425186,,-2.0344094633004044,-4.0738496817462595,,-3.1140608060213903
winter,-2.098474794138846,8.411894126184295,-1.9038339152889738,,-3.5882350230573223,,-2.214720237603755,-4.018619529985996,-2.3308025781329693,
spring,-1.9696869696919455,8.926884394111717,-1.6972571746624916,-1.331048774194998,,-3.911095754248923,-2.38809158801026,-4.093945694376051,,
summer,-1.9352094271584745,8.10471937234669,-1.4884336952919652,,-3.878786087919237,-3.831496736527165,-2.2755841185122176,-4.014349398025618,,
autumn,-1.4572315340014128,7.00274869273368,,-1.005940953799607,-4.217286651633469,-3.8531985374491153,-2.322982317589682,-3.697377974082677,,
winter,,5.502235709529939,-0.8942214643414823,,-4.789650666172494,-3.5184141090444907,-2.7563915698952375,-3.60208823579142,-1.7797232632967352,
spring,-1.0446879644068474,4.574785482261416,,-0.5322937147507442,-4.858777849885247,-2.997490240619498,-3.12758663472625,,-1.5871058642346836,
summer,-0.5788580280246837,,-0.1197614415786506,-0.14983005573581673,-5.180666096183696,-3.097591657304892,-3.0420623775087954,,,-1.7509646515583128
autumn,,,0.15532069826199427,-0.26150873920811996,-5.451833089674116,-2.888292560644867,,-2.90776117573968,-1.1848362620725768,-1.464045081882884
winter,,,0.3950144744151098,0.11481621863913388,-5.514115897245764,,-3.5231609847453056,-2.7862000568425396,-0.7888325018793452,-1.0693153186714177
spring,,3.0469961344722107,0.736983248535596,0.23253604206698306,,-2.3989984081305513,,-2.4233391322169298,-0.6357740610395879,-0.6845211510680758
summer,0.668888477195441,,0.7777160111752796,0.4231459819666825,-5.624601105368196,,-3.679452710193504,-2.230039632829839,,-0.07776731301918643
autumn,0.9461377533994731,3.584367236029898,,0.6161840012351536,,,-3.6168717881258408,-1.8006838247733026,0.03456773024867904,-0.04350327906274118
winter,1.1051496549192308,,1.1186969910822206,,-5.667859258630316,,-3.763594965294442,-1.815632832963537,0.23486271439322315,0.39440483395298664
spring,1.031778915823039,3.7217676422214225,,,-5.27195480797859,,-3.6189853962090845,-1.637349594683082,0.6018626331160297,0.6242571581025388
summer,,3.79414698388256,1.433521104010195,0.7457878228885948,-5.451017854060707,-1.878176791853158,-3.744401921339149,,,0.8735425903395403
autumn,,3.266980883060494,1.3845881863454088,0.9587981034085808,-5.278573876667105,-1.7678958369345632,,-1.5536232356890103,0.8830042968964598,
winter,1.1009274023100082,3.4668867132347483,,,-5.027142233497003,-1.7662034716409034,-3.5674392051787853,-1.500143255250014,,1.2547174450949514
spring,1.0108596640476695,2.8148107603151264,1.4516726961795698,0.8190902793381342,,-1.7527110742021619,,,1.375760366034972,1.427309440865876
summer,0.5827857015063815,,,0.7923528031783497,-4.750019260006138,,-3.455928805701701,-1.644464987462727,1.4320702809508588,1.4961676724851005
autumn,0.6876630166380057,,1.3092598638243573,0.5786917212900629,-4.539819245995974,-1.6543895196757765,-3.260080628367771,-1.567487551556935,,
winter,0.5389342916479894,,1.2924158058375188,,-4.4398169762331,-1.886540873793602,,-1.3773104601383281,1.5889460263404296,1.722423612870279
