Id,y
50100,1.785191
50101,2.3182771
50102,1.6065414
50103,2.3355725
50104,1.7232218
50105,1.7833874
50106,1.9738219
50107,2.2967503
50108,1.789892
50109,1.892874
50110,1.2975535
50111,1.6784148
50112,1.6413293
50113,1.7987685
50114,1.8887625
50115,2.262755
50116,1.4147537
50117,1.7777386
50118,2.0779967
50119,1.5878541
50120,1.9434528
50121,2.1648479
50122,0.96512794
50123,1.7147322
50124,1.6418667
50125,1.8629041
50126,1.7363441
50127,1.8026714
50128,1.572782
50129,1.8951037
50130,2.0172622
50131,2.0222378
50132,1.6168227
50133,1.5285602
50134,1.7299297
50135,2.36334
50136,1.6802661
50137,1.8583863
50138,1.5098393
50139,1.6494987
50140,2.0017517
50141,2.397931
50142,1.9408925
50143,1.2939653
50144,1.793122
50145,2.085567
50146,1.6766641
50147,2.1352327
50148,1.9193101
50149,1.6611185
50150,1.5012796
50151,1.6433415
50152,1.6136494
50153,2.1253765
50154,1.6237679
50155,2.398902
50156,2.0647712
50157,1.1115067
50158,1.9056103
50159,1.0876098
50160,1.6650879
50161,2.1181378
50162,1.8301272
50163,2.3821945
50164,1.8188918
50165,1.4944365
50166,1.3707933
50167,1.7476964
50168,1.7232347
50169,1.0782471
50170,1.9018562
50171,1.9529531
50172,1.4701493
50173,2.0068996
50174,2.0018845
50175,1.55301
50176,2.3197668
50177,2.0611188
50178,2.2017384
50179,1.951524
50180,2.052855
50181,1.8945024
50182,2.0508058
50183,1.324002
50184,2.225933
50185,1.6318192
50186,2.1941557
50187,2.3606238
50188,2.2198446
50189,2.287042
50190,2.4195263
50191,1.928875
50192,2.1265285
50193,2.053081
50194,1.8984101
50195,1.7600546
50196,2.0817254
50197,1.9796233
50198,2.033821
50199,2.2209773
50200,1.7549112
50201,2.384998
50202,1.6493235
50203,1.8827958
50204,1.4897509
50205,1.350101
50206,2.0117593
50207,2.0222936
50208,1.74475
50209,1.5750213
50210,1.9148564
50211,1.3542264
50212,2.0557995
50213,2.3640447
50214,1.7728553
50215,1.4342077
50216,1.3412151
50217,1.5368125
50218,1.7496467
50219,2.145339
50220,1.8018813
50221,2.073717
50222,2.045223
50223,1.7662313
50224,1.3872457
50225,2.2348566
50226,1.7422707
50227,2.2182245
50228,1.7801569
50229,2.171336
50230,1.8777502
50231,1.8790345
50232,2.071094
50233,2.2787309
50234,1.6232872
50235,1.2831249
50236,1.6750698
50237,1.5593741
50238,1.730768
50239,2.1128936
50240,1.8989654
50241,1.3224726
50242,2.207408
50243,1.7703354
50244,1.5239332
50245,1.6590106
50246,2.410024
50247,1.2734318
50248,2.610087
50249,2.3736231
50250,2.1961524
50251,1.5711949
50252,2.1452868
50253,2.0935595
50254,1.7474396
50255,1.7686653
50256,2.209831
50257,1.9420347
50258,1.6096692
50259,2.022033
50260,0.952281
50261,2.072993
50262,1.7025135
50263,1.7063344
50264,1.0968804
50265,1.7304034
50266,1.9057028
50267,2.3687248
50268,1.8227115
50269,1.5535586
50270,2.1439571
50271,2.124942
50272,2.1095667
50273,2.2977092
50274,1.9626274
50275,1.2525561
50276,1.9568892
50277,1.6091211
50278,1.5513017
50279,1.5545175
50280,2.1176643
50281,1.4104524
50282,2.2447891
50283,2.146747
50284,1.7406893
50285,1.6754084
50286,1.835881
50287,2.4062521
50288,2.2536178
50289,1.3417182
50290,2.1475527
50291,1.9692159
50292,1.5956163
50293,2.2879612
50294,1.5707271
50295,1.7324443
50296,2.4665866
50297,1.7528484
50298,2.1614866
50299,2.247329
50300,1.8330996
50301,1.8185573
50302,1.9809184
50303,2.1359472
50304,1.8366635
50305,1.3186679
50306,1.258677
50307,1.9858804
50308,2.0621307
50309,1.4700234
50310,1.9643493
50311,1.8456931
50312,2.1379445
50313,1.9837964
50314,1.507061
50315,1.8706312
50316,1.4801557
50317,1.6310437
50318,2.1921148
50319,1.8485034
50320,2.1322937
50321,2.0502193
50322,2.3277123
50323,1.122375
50324,1.7781949
50325,2.0016384
50326,2.0260403
50327,1.8665483
50328,1.6662745
50329,1.7269382
50330,1.7449584
50331,1.9992855
50332,1.3608172
50333,1.6874201
50334,1.6234198
50335,1.7375627
50336,1.9273152
50337,1.2665324
50338,1.8979235
50339,1.7508104
50340,1.6865573
50341,1.4969163
50342,1.9771395
50343,1.1500263
50344,1.7944257
50345,2.2532542
50346,1.2806869
50347,2.2599924
50348,2.0555887
50349,1.3147573
50350,2.260775
50351,1.8541594
50352,1.7351172
50353,1.4956844
50354,1.4890034
